Field,Resistance,Field,Resistance,Field,Resistance,Field,Resistance,Field,Resistance,Field,Resistance,Field,Resistance,Field,Resistance,Field,Resistance,Field,Resistance
Oe,Ohm,Oe,Ohm,Oe,Ohm,Oe,Ohm,Oe,Ohm,Oe,Ohm,Oe,Ohm,Oe,Ohm,Oe,Ohm,Oe,Ohm
,10 K,,50 K,,100 K,,150 K,,150 K,,160 K,,170 K,,180 K,,190 K,,200 K
-13000.3046875,-22.31721,-13000.3486328125,-33.64956,-13000.3046875,-48.05393,-13000.2724609375,-67.16356,-13000.3828125,-66.87364,-13000.2392578125,-72.63461,-13000.3486328125,-77.63361,-13000.1845703125,-82.50616,-13000.2177734375,-88.49471,-13000.25,-91.44923
-13000.3271484375,-22.32122,-13000.3935546875,-33.66231,-13000.31640625,-48.06668,-13000.283203125,-67.16793,-13000.3486328125,-66.87702,-13000.2392578125,-72.64425,-13000.361328125,-77.64046,-13000.1953125,-82.55958,-13000.228515625,-88.46416,-13000.228515625,-91.52795
-13000.3486328125,-22.32469,-13000.3486328125,-33.67764,-13000.3720703125,-48.08065,-13000.2724609375,-67.15537,-13000.3486328125,-66.91576,-13000.2060546875,-72.6354,-13000.4052734375,-77.65923,-13000.2060546875,-82.55963,-13000.2392578125,-88.54495,-13000.25,-91.52579
-13000.2939453125,-22.33092,-13000.3720703125,-33.68416,-13000.3720703125,-48.09856,-13000.2939453125,-67.15212,-13000.4052734375,-66.9162,-13000.228515625,-72.6356,-13000.3935546875,-77.6703,-13000.1845703125,-82.53078,-13000.2177734375,-88.5185,-13000.2177734375,-91.50575
-12000.365234375,-22.32885,-12000.14453125,-33.65628,-12000.310546875,-48.09393,-12000.34375,-67.27705,-12000.201171875,-67.01791,-12000.1123046875,-72.75809,-12000.1123046875,-77.87267,-12000.33203125,-82.65997,-12000.1787109375,-88.67651,-12000.3544921875,-91.73955
-12000.3759765625,-22.33287,-12000.123046875,-33.66963,-12000.2998046875,-48.11037,-12000.3212890625,-67.31477,-12000.22265625,-67.03127,-12000.15625,-72.75609,-12000.1787109375,-77.92666,-12000.2666015625,-82.64287,-12000.123046875,-88.72563,-12000.2998046875,-91.76343
-12000.38671875,-22.33733,-12000.14453125,-33.67689,-12000.27734375,-48.12018,-12000.3759765625,-67.3121,-12000.2119140625,-67.04602,-12000.15625,-72.77215,-12000.1787109375,-77.96783,-12000.2890625,-82.64237,-12000.14453125,-88.70929,-12000.2998046875,-91.84837
-12000.4208984375,-22.34237,-12000.1904296875,-33.684,-12000.310546875,-48.11407,-12000.3544921875,-67.30726,-12000.22265625,-67.06615,-12000.15625,-72.79648,-12000.2119140625,-77.95435,-12000.2998046875,-82.60442,-12000.15625,-88.78603,-12000.310546875,-91.89857
-11000.1171875,-22.2957,-11000.404296875,-33.68871,-11000.3935546875,-48.13617,-11000.31640625,-67.44013,-11000.3046875,-67.13657,-11000.23828125,-72.96313,-11000.23828125,-78.17834,-11000.359375,-83.04412,-11000.1953125,-89.21386,-11000.3935546875,-92.22775
-11000.1513671875,-22.30298,-11000.3818359375,-33.69786,-11000.37109375,-48.15181,-11000.31640625,-67.45218,-11000.3271484375,-67.1637,-11000.23828125,-72.92821,-11000.25,-78.21619,-11000.37109375,-83.07056,-11000.216796875,-89.22534,-11000.404296875,-92.2871
-11000.162109375,-22.30823,-11000.3935546875,-33.70089,-11000.3486328125,-48.14758,-11000.3046875,-67.47485,-11000.3271484375,-67.17842,-11000.18359375,-73.00172,-11000.3046875,-78.24636,-11000.3935546875,-83.08351,-11000.2060546875,-89.27958,-11000.37109375,-92.28979
-11000.162109375,-22.31545,-11000.42578125,-33.70317,-11000.3486328125,-48.15932,-11000.3046875,-67.4892,-11000.31640625,-67.19559,-11000.2060546875,-73.04296,-11000.2607421875,-78.25953,-11000.3818359375,-83.14751,-11000.18359375,-89.27934,-11000.37109375,-92.27672
-10000.2109375,-22.42637,-10000.2548828125,-33.7085,-10000.27734375,-48.19171,-10000.34375,-67.60604,-10000.3212890625,-67.30645,-10000.3544921875,-72.94554,-10000.15625,-78.54676,-10000.14453125,-83.41535,-10000.4091796875,-89.65562,-10000.265625,-92.64342
